EEBO,Author
99855182,"Aggas
99851240,Gentleman of Florence.
99838366,Eglises rÃ©formÃ©es de France.
99838366,Reynolds
99836182,"Bacon
99849553,Eglises rÃ©formÃ©es de France.
99849553,Combort
99838385,"Franchis
99847921,"Golding
99845364,"Alber
24117645,"Marcos
99838391,"Franck
99836190,"Bacon
33143174,"Franklin
99852504,"Franklin
99847930,"Frarinus
99853921,"Fraser
99853924,"Fraser
99853926,"Fraunce
99841363,"Fraunce
99841362,"Fraunce
99841376,"Fraunce
99838393,"Fraunce
99838395,"Francke
99856051,"Freake
99854615,Bohemia (Kingdom). Sovereign (1619-1620 : Frederick I)
99854615,Frederick I
99838545,"Frederick Henry
99852506,"Freeman
99842133,"Bacon
99841379,"Freeman
99838436,"FrÃ©geville
99841383,"Frith
99841382,"Frith
99845372,"Frith
99836252,"Adams
99838434,"Frontinus
99841393,"Fulbeck
99838524,"Fulbecke
99838536,"Fulbecke
99851760,"Fulke
99838474,"Fulke
99838537,"Fulke
99838540,"Fulke
99855835,"Fulke
99899113,"Fulke
99847966,"Fulke
99838455,"Fulke
99838521,"Fulke
99847973,"Fulke
99838499,"Fulke
99838538,"Fulke
99848042,"Fulke
99852900,"Fulke
99838504,"Fulke
99838509,"Fulke
99838511,"Fuller
99838584,"Fuller
99856435,"Fuller
24133576,"Fuller
99838586,"Fuller
99838588,"Fuller
99842472,"Gnaphaeus
99841388,"Gnaphaeus
99854901,"Fulwell
99841389,"Fulwell
99838523,"Fulwell
29715564,"Fullwood
99856982,"Fulwood
99856434,"FumÃ©e
99841396,"Furio Ceriol
99845469,"Fyloll
99841449,"C. G.
99852901,"Gibbon
99856987,"F. G.
99838541,"H. G.
99845148,"Goodale
99850821,"Adams
99856056,"Greenham
99838544,"R. G.
99838546,"T. G.
99852424,"T. G.
99838565,"Gainsford
23734578,"Gainsford
99838566,"T. G.
99838596,"Gainsford
99856264,"Gainsford
99838601,"Gainsford
99841395,"Gainsford
99841400,"Gale
99838569,Gallobelgicus.
99841401,"GalvÃ£o
99849053,"Gamage
29900394,Synod of Gap.
24135992,"GarcÃ­a
99854915,"Garcie
99850122,"Gardiner
99841419,"Gardiner
99836343,"Bacon
99850124,"Gardiner
99838582,"Gardiner
99836345,"Bacon
99838585,"Gardiner
99838630,"Gardiner
99838618,"Gardiner
99838611,"Gardiner
24137498,"Gardiner
29641393,"Gardiner
99838617,"Bale
99846282,"Gardynare
99854033,"Breton
99854034,"Garden
99838621,"Garey
99845480,"John
99842609,"Bacon
99841424,"Garnier
99841427,"Garnier
99841429,"Garrard
99853386,B. G. (Bernard Garter)
99841430,B. G. (Bernard Garter)
99841430,Wood
99838629,B. G. (Bernard Garter)
99838629,Tunstall
99856061,"Garter
99838670,"Garzoni
99841417,"Gascoigne
99836346,"Bacon
99841436,"Gascoigne
99838639,"Gascoigne
99841444,"Gascoigne
99852352,"Gascoigne
99838638,"Gascoigne
99838642,"Gataker
99841446,"Gataker
99838646,"Gataker
99838647,"Gataker
99838651,"Gataker
99835846,"Gataker
99838674,"Gataker
99838681,"Gataker
99838676,"Gataker
99838728,"Gataker
99838729,"Gataker
99855690,"Gataker
99838680,"Gataker
99838734,"Gataker
99838682,"Gataker
99852478,"Gataker
99838747,"Gataker
99838684,"Gataker
99838748,"Gataker
99842617,"Bacon
99838749,"Gataker
39960723,"Gataker
99838707,"Gates
99857636,"Gaultier
99838712,"Gebhard
99838755,"Gedde
99836225,"Adams
99852355,"Gelli
99853160,"Gellibrand
99838775,Geneva (Switzerland)
99838775,Fills
99838818,"Geninges
22123619,"Bacon
99838796,"Gentleman
99844290,"GeorgijeviÄ‡
99857317,"Gerard
24138521,"Hyperius
99838798,"Gerhard
99850490,"Rawley
99838831,"Gerhard
99854183,"Bacon
99849068,"Gerhard
22150912,Gentleman well deserving that hath suffered much in those warres.
99838819,"Gesner
99846288,"Bacon
99838855,"Gesner
99850467,"Geveren
99851727,"Gibbon
29701171,"Gibbon
99836354,"Bacon
99837713,"Gibbon
99838824,"Gibbons
99853973,"Gibson
99841457,"Pontaymeri
99849254,"Gibson
99853483,"Gibson
99838753,"Gibson
99847428,"Gibson
23063224,"Gybson
99838884,"Gibson
99838847,"Gybson
99856951,"Gibson
99841416,"Gifford
99838898,"Gifford
99849259,"Gifford
99844293,"Gifford
99853660,"Gifford
99849515,"Gifford
99849517,"Gifford
99844294,"Gifford
24498611,"Gill
99853583,"Gill
99836356,"Bagshaw
99841458,"Gilbert
99838911,"Gilbert
99838868,"Gilby
99838913,"Gilby
99838920,"Gildas
99838880,"Gillespie
99849260,"Gilpin
99838885,"Giovio
99853584,"[Giulio
99838890,"Glanville
99838240,"Glanville
99838881,"Glapthorne
99838961,"Glapthorne
99850476,"Baley
99838977,"Glapthorne
99838978,"Glapthorne
99838953,"Glapthorne
99838976,"Glapthorne
99845222,"Henry VIII
99841460,"Glaucus
99841464,"God
99841466,"Goddard
24145368,"Goddard
99841467,"Goddard
99855714,"Godskall
99838915,"Godwin
99841412,"Godwin
99853901,"Godwin
99838933,"Godwin
99842610,"Godwin
99853587,"Godwin
99850058,"Baley
99838949,"Goodwin
99850131,"Baley
99851891,"GÃ³is
99845151,"Goeurot
99857512,"Goffe
99838954,"Goffe
99838956,"Goffe
99839052,"Goffe
99854949,"Golding
99844283,"Golding
99836357,"Baley
99841497,"Goldwel
99838959,"Gombauld
99839064,"Gomersall
99838971,"Gomersall
99839081,"Gomersall
99838982,"Gomersall
99852609,"GonzÃ¡lez de Montes
99838987,"GonzÃ¡lez de Mendoza
24145872,"Goodall
24507671,"Goodcole
99853844,"Goodcole
